,business_risk
10001,0.8331452930176804
10002,-6.110730532223143
10003,-6.0866874904992825
10004,0.6725212320591065
10005,-0.2736881879072204
10006,-5.761097170413834
10007,1.4372001254220488
10008,1.4238187383970131
10009,0.8605431170527873
10010,-6.110730532223143
10011,2.734308928925343
10012,1.3581812925027263
10013,1.8862156935326455
10014,-6.121749537552589
10015,15.371728179310239
10016,-0.2890251636894776
10017,-1.4231916098539266
10018,-0.4663413534893621
10019,1.5043681509040532
10020,3.6626524041136292
10021,3.9617848574822876
10022,2.6991469279963813
10023,-6.009747525292549
10024,0.40010207571226686
10025,-5.586979792127769
10026,-6.238320990640584
10027,-5.301588388701093
10028,1.5580895574884954
10029,-6.110730532223143
10030,1.7574703639250455
10031,3.6834824643366946
10032,-6.110730532223143
10033,1.1082846977396315
10034,-5.301588388701093
10035,-5.931453964157831
10036,1.0672387594219193
10037,1.489744949873666
10038,-5.127786868656869
10039,1.2953333226760226
10040,2.6749087791214206
10041,-7.580435939215186
10042,-6.091195664088054
10043,6.469776020761606
10044,0.09594489558616504
10045,-5.706717274197394
10046,-6.109299247537289
10047,0.31107482018182964
10048,10.01433920439315
10049,0.6694054224261088
10050,-5.9433549965748975
10051,0.3344998932472443
10052,-6.110730532223143
10053,-1.092432807765317
10054,7.5330938502796245
10055,-1.0729769132702551
10056,-6.4428669739612525
10057,0.8334415383278433
10058,-5.8778486066086435
10059,2.438753693092817
10060,-6.110730532223143
10061,0.9457663843548825
10062,3.8000340437114106
10063,-6.022463133919824
10064,4.77851446435131
10065,1.3056518122310825
10066,-0.4733418250343968
10067,0.11607157500126775
10068,-6.110730532223143
10069,-6.110730532223143
10070,-5.613250921247685
10071,-6.15510421188952
10072,-0.9494113144333047
10073,1.6227705676520368
10074,2.267163156821822
10075,0.9299364378078154
10076,1.9872603104671716
10077,0.5814123845483472
10078,-5.417544298686118
10079,0.5682938001393654
10080,-0.8098379348969642
10081,2.781234312860101
10082,-6.4498064620987945
10083,-6.110730532223143
10084,2.9770724614208617
10085,-1.751121563275587
10086,1.0034974864862816
10087,-6.110730532223143
10088,4.810898638094539
10089,0.5543217413797703
10090,0.9198790962886729
10091,-5.535392380591853
10092,-3.4311523239619097
10093,-6.190194653616834
10094,-6.110730532223143
10095,0.5464466284538336
10096,-6.110730532223143
10097,-6.110730532223143
10098,4.720951374453512
10099,-6.199551389714119
10100,-6.1019548411895945
10101,-6.110730532223143
10102,-0.6699692916531483
10103,0.09898393690007934
10104,-0.7049471602322384
10105,-5.301588388701093
10106,-5.301588388701093
10107,-5.823237825083268
10108,1.3282362228457951
10109,-0.16626249091471168
10110,-3.6369655648196053
10111,-0.20222490974588148
10112,0.5720088118812063
10113,-1.6002807913102153
10114,-6.110730532223143
10115,-6.233332307916407
10116,6.249382049588747
10117,-0.20907444422609167
10118,0.10407946345932384
10119,-0.12361443449224563
10120,-3.1324921507593144
10121,1.0477803491184554
10122,2.1145759737330625
10123,-1.7187519248630942
10124,1.3452342794905823
10125,1.295923070311165
10126,2.6616043585245546
10127,0.27907102072544143
10128,1.0193231903108866
10129,2.0840211206309394
10130,-6.110730532223143
10131,0.4500395459738067
10132,-6.023821132546838
10133,-3.050129677221178
10134,1.133798133900667
10135,1.3685597482708198
10136,3.4257442510891316
10137,-1.5105290197339798
10138,4.688800427844766
10139,-6.178322426462361
10140,1.3856866197907098
10141,1.0074942661167918
10142,-0.5727964922419551
10143,2.01919042425139
10144,-0.6305537487114661
10145,0.7372638282262338
10146,0.6974112083984323
10147,0.20298666091313944
10148,-5.93511989947008
10149,-2.091505214170372
10150,-5.297716890952196
10151,0.409872257765739
10152,-2.5662082559355337
10153,-0.2713487553923608
10154,-6.151836629637676
10155,0.11805156246237924
10156,1.182110401846884
10157,-6.117951705428571
10158,-6.110730532223143
10159,-0.018068915821962683
10160,-5.878674381311424
10161,-2.7748887643767732
10162,4.427982822771804
10163,-5.685480314827525
10164,1.3958723453751412
10165,-6.110730532223143
10166,2.129519978355394
10167,-5.386161462713967
10168,0.9662054802422013
10169,-5.469396203069128
10170,-6.110730532223143
10171,0.9017404615232776
10172,-4.771946298799445
10173,1.046254962710815
10174,-6.06985160871434
10175,-5.365296080265599
10176,16.812684549056968
10177,3.342512358029612
10178,-1.0947947459017842
10179,-0.6154888462624708
10180,-5.907753337677922
10181,-6.110730532223143
10182,2.8705563403790504
10183,-0.6436735818474615
10184,2.4208554560068523
10185,4.02812799625448
10186,0.7959766406855273
10187,-6.160023185144214
10188,-1.9678204957263912
10189,-4.749316712323684
10190,1.318810228287679
10191,4.315596946639855
10192,1.5445688615318836
10193,1.7101511063308195
10194,-6.110730532223143
10195,0.8688267039154505
10196,5.497901543699966
10197,3.404366110747358
10198,-0.49740372562556745
10199,-5.842413507582957
10200,-6.072228875095598
10201,2.050641012430801
10202,-6.110730532223143
10203,-5.301588388701093
10204,1.014250225860425
10205,-6.004720143886595
10206,-6.110730532223143
10207,1.0744961717332377
10208,1.0935232482572461
10209,2.3432264180615023
10210,-5.8521376662895035
10211,-6.110730532223143
10212,-5.138513205887056
10213,-1.7990226251066503
10214,-5.394168405240282
10215,-6.05001048237425
10216,4.764017010345084
10217,-5.683333237470574
10218,0.2585124908308354
10219,-6.110730532223143
10220,3.399160362674126
10221,0.8837683982613334
10222,1.8874847819482787
10223,-6.141680860713856
10224,1.216498377987805
10225,7.14594113778535
10226,3.6025869286548557
10227,-2.049915672628271
10228,-5.559583350597963
10229,2.8920165323481712
10230,1.9293579691460905
10231,6.131822375728616
10232,9.801966026797157
10233,4.907794120918882
10234,2.5896977876965366
10235,3.7577676454199005
10236,0.8043536141575911
10237,0.7082167441978651
10238,0.6124441253715869
10239,-0.07249271043975902
10240,-3.73553788256518
10241,7.320483814538856
10242,0.49843747338706024
10243,0.33572440085917354
10244,-3.792107379059555
10245,0.025706003458953575
10246,1.9135418268674593
10247,0.6206246280542218
10248,-5.167220106990679
10249,-1.8271955430323263
10250,-1.1626326327226404
10251,0.4269608075049025
10252,-0.6773664258548346
10253,2.469863056820063
10254,3.8588355794210516
10255,0.6965211157732145
10256,1.1994837922046846
10257,-6.110730532223143
10258,-6.110730532223143
10259,-6.110730532223143
10260,-2.513274222949218
10261,4.064966614948146
